Name,ID,number of warnings,Reason,Date (YYYY-MM-DD),Expiry - 60 / ∞ / ∅
Gnawms,604369919949406238,,Posting NSFW Content in #newhome.,2017-05-15,
Cashspticeye,266729524366934017,,Continuing to ask 'join hotel room' after being asked to stop,2017-05-14,
Aza,168362841022136321,,Continued spamming Koala pics in #newhome after being asked to stop.,2017-05-14,
T3R3Z1 PYROP3,192089454305869824,,Using Quirks,2017-05-14,
DR4GON LOV3,192089454305869824,,Quirking yet a-fucking-gain.,2017-05-14,
Icewolf,146545496192843776,,Sent an inflammatory message to Madzci which sparked drama among users,2017-05-13,
Moony,282784540215345153,,"Contextless posting in #newhome, did not respond in #judgmenthall",2017-05-13,
doot-is-unbootable,134166550549757952,,"Breaking the ""fetishising bans"" rule after another user was scolded for it. Further insolence in #judgmenthall lead to this warning.",2017-05-12,
Grayson (Xorn),143891265283555328,,First unban.,2017-05-12,∞
Pec Mons,267461306188169227,,First unban.,2017-05-12,∞
Necromancer,299286332314877953,,"Random server shill, was foreboden before and said they've read rules",2017-05-10,
Im a dog,228294068159905792,,"Posting the same image like 5 times in a row, not responding in #jug",2017-05-09,
Necromancer,299286332314877953,,Consistent shitposting after being told multiple times to stop.,2017-05-09,
Necromancer,299286332314877953,,Random embed and unrecognized HTML file,2017-05-08,
Computrix,189537671289241602,,Incessant minimodding.,2017-05-04,
Inkx,122043518544904192,,Constantly shilling himself for a staff position.,2017-05-03,
origami,232535536340828160,,Posting NSFW imagery in #newhome.,2017-05-01,
origami,232535536340828160,,"Posting random, contextless embeds.",2017-05-01,
Darkshreaders,296440120192532492,,Shilling in morse (after being told they can't shill),2017-04-26,http://i.imgur.com/E9uswCp.png
KirbySmasher48_YT,268941936554016768,,Posting copypasta on join.,2017-04-23,
Rayhaanlol,283151684757356544,,Being toxic and insulting another user over nothing.,2017-04-21,
Omnitrix,179182645014560768,,Refusing to stop RPing in #newhome after being told to stop by a moderator.,2017-04-18,
Omnitrix,179182645014560768,,Being unneccesarily difficult in #judgmenthall.,2017-04-18,
MugLife,299291226790690817,,Posting trypophobia triggers in newhome,2017-04-18,
Korama,295702382346764289,,Posting borderline NSFW pictures after being told to stop doing so.,2017-04-17,
Sonic/Riolu,222868188831023104,,Random embeds/puns despite being told to stop several times,2017-04-17,
Sans the Dank Skeleton,269669428235468801,,Server shilling,2017-04-14,
The Cringe King,222399224891834379,,Continued to meme after being told to stop,2017-04-12,
DarkyChan,196698980837490688,,Server shilling in DMs on join.,2017-04-09,
DarkyChan,196698980837490688,,Server shilled in DMs *again*.,2017-04-09,
Potrock,247965561470976004,,Derailing #newhome with contextless memery,2017-04-08,
Angelic,131525678515355648,,Threatening to spam NSFW with an alt and then playing it off like it was no big deal in #judgmenthall,2017-04-08,
M~SWATPUMPKIN,137976875417862144,,Server shilling in DMs.,2017-04-07,
Hand Man,188813873908809730,,"Posted a man taking a shit with pampers, not responding in judgementhall",2017-04-05,
atlas,74768773940256768,,being atlas,2017-04-01,try and see if b1zny can delete his account too
SCOOT,161078012161294336,,posted alodda dolphins in newham,2017-04-01,
El_Isma,293858750207361026,,Server shill,2017-03-29,
Asriel Dreemurr,246386692355915776,,"Using a bot command directly after the entire chat was warned to not use bot commands, on pain of a warning.",2017-03-28,
Flareblood,195546413105545216,,"being a general twat, posting extreme edge when asked to stop, defiance of moderators, flat out insulting europeans",2017-03-25,
